"baseMean","log2FoldChange","lfcSE","pvalue","padj","genus","absent_in_a_group"
1295.22620914722,16.5148266468686,2.27529508272904,2.2538036460645e-14,2.11857542730063e-12,"Klebsiella",FALSE
40.3152989378184,0.146553649158663,1.03484506558357,1.07571617183972e-09,5.05586600764667e-08,"Pediococcus",TRUE
934.064075669095,10.4892616790594,1.99398021239307,1.61804615889822e-09,5.06987796454775e-08,"Enterococcus",FALSE
229.135183042992,0.515573544366704,1.22964595643714,9.62776079755342e-08,2.26252378742505e-06,"Fusobacterium",FALSE
628.672011953449,7.98309376383436,1.78302507912002,2.50874570064862e-07,4.71644191721941e-06,"Veillonella",FALSE
50.7243313309668,0.400371845594645,1.14201838832437,1.81742440419937e-05,0.000284729823324568,"Lactiplantibacillus",TRUE
11.1041558955654,0.689347805323974,1.42143782077239,4.79239246822393e-05,0.000643549845732928,"Enterobacter",TRUE
2004.44343579801,6.01742559012617,2.74243141842213,0.000107413271285583,0.00120522209624712,"Escherichia-Shigella",FALSE
33.1143594157362,0.355955402115996,1.11527316396845,0.000115393604959831,0.00120522209624712,"Proteus",TRUE
11.4837738199235,-4.65624499944135,1.7124685797701,0.000131990934780245,0.0012407147869343,"Monoglobus",FALSE
26.2301006235652,0.277977136600537,1.07677735992387,0.000632631938983502,0.00540612747858629,"Morganella",TRUE
7.07938081507706,-8.1463842110051,2.48568719204251,0.00189400295306784,0.0148363564656981,"Lachnospiraceae UCG-004",FALSE
33.345245880014,0.450459191234834,1.17600452973394,0.00279924891992912,0.0202407229594875,"Citrobacter",FALSE
11.0704113347793,-5.91912597553813,2.08488718337275,0.0040491215233812,0.0271869587998452,"Butyricicoccus",FALSE
17.2196850270772,-11.4036253650226,4.48187149588941,0.00608923527003198,0.0336698891401768,"[Eubacterium] eligens group",TRUE
15.85605664899,0.205190110688224,1.05017831912807,0.00573339961591493,0.0336698891401768,"HT002",TRUE
9.54561531667022,0.247550399664614,1.06446551706013,0.00559857240461169,0.0336698891401768,"Kosakonia",TRUE
488.353250897529,0.422621961630616,1.15154723127363,0.00700276186899245,0.0365699786491828,"[Clostridium] innocuum group",FALSE
45.3321326787743,-4.81746973682895,2.23502874486499,0.00797411511618362,0.0394508853116453,"[Eubacterium] hallii group",FALSE
4.25967207286675,-4.76315830431491,2.17412919108517,0.0138972553538467,0.0622067620600756,"[Eubacterium] nodatum group",FALSE
524.963553726858,-3.71606136242068,1.96325538428352,0.0137607142550193,0.0622067620600756,"Faecalibacterium",FALSE
1.59364727642411,0.365599225086366,1.11945047541201,0.0236979164179594,0.0982829585895981,"Buttiauxella",TRUE
28.7915886474277,-2.90734890003424,1.85876918475987,0.024047957952774,0.0982829585895981,"Roseburia",FALSE
16.3966127806137,1.2459970540348,1.62562986731436,0.0288100110898782,0.0985746950519795,"Actinomyces",FALSE
4.92536652190948,0.231367739837066,1.05831882740612,0.0311299875460855,0.0985746950519795,"Campylobacter",FALSE
5.90659691447969,-4.97114736676469,3.02368244993655,0.0273164122931821,0.0985746950519795,"Coprobacter",FALSE
520.122902939842,-2.17971540322242,1.44875581209336,0.0314600090591424,0.0985746950519795,"Dialister",FALSE
89.0406771678375,-0.0189962714223675,0.916920035424577,0.0314260807593316,0.0985746950519795,"Dorea",FALSE
1.97287416223787,-5.35288074415614,2.67642788536331,0.0308572968172675,0.0985746950519795,"GCA-900066575",FALSE
5.42989075089447,-9.16341305651586,4.43008802162371,0.0273887894427676,0.0985746950519795,"Sellimonas",TRUE
2.78632420343278,-4.05996174863068,2.75076255324862,0.0327772294193292,0.0993890182392563,"Lachnospiraceae ND3007 group",FALSE
